username,platform,followers,following,posts,bio,has_profile_pic,account_age_days,is_verified
fake_account_1,instagram,25,4900,2,"Follow me for giveaway win free money click here",False,5,False
genuine_user,instagram,8500,450,234,"Photographer | Travel enthusiast | Coffee lover",True,1200,False
spam_bot,twitter,10,5000,15000,"Make money fast! Click link! Follow for follow!",False,30,False
suspicious_account,instagram,150,3000,5,"F4F L4L follow for follow instant follow back",False,15,False
real_influencer,instagram,125000,850,1200,"Fashion blogger | Lifestyle content | Brand collaborations",True,2500,True
bot_account,twitter,5,2000,8000,"Auto DM for follow back! Get rich quick scheme!",False,10,False
normal_user,instagram,3200,280,156,"Software developer | Tech enthusiast | Coffee addict",True,800,False
spam_profile,facebook,50,4000,1,"Click here to win! Free money! Follow now!",False,7,False
verified_celebrity,twitter,2500000,150,5600,"Official account | Actor | Producer",True,5000,True
new_account,instagram,8,1200,0,"",False,2,False


